CVE ID,NVD URL,CWE ID
CVE-2023-3983,https://nvd.nist.gov/vuln/detail/CVE-2023-3983,CWE-89
CVE-2022-36082,https://nvd.nist.gov/vuln/detail/CVE-2022-36082,CWE-20
CVE-2022-24324,https://nvd.nist.gov/vuln/detail/CVE-2022-24324,CWE-120
CVE-2022-2054,https://nvd.nist.gov/vuln/detail/CVE-2022-2054,CWE-94
